Column1,SOURCEID,SOURCEDB,TIMESTRR,LONWGS84,LATWGS84,TAXNWRB,LOC_ID,WRB_2006_NAMEf,optional,TAXNWRB.f,optional.1
3,AO_SOTER_P.104c/62,AfSPDB,1962-10-21,15.107436,-10.07856,Xanthi-Acric Ferralsols,15.107436_-10.07856,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
16,AO_SOTER_P.128c/64,AfSPDB,1964-10-21,23.398895,-12.081946,Xanthi-Acric Ferralsols,23.398895_-12.081946,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
19,AO_SOTER_P.134/63,AfSPDB,1963-10-21,17.967016,-10.999707,Rhodi-Acric Ferralsols,17.967016_-10.999707,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
22,AO_SOTER_P.139/61,AfSPDB,1961-10-21,16.321838,-11.411432,Xanthi-Acric Ferralsols,16.321838_-11.411432,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
41,AO_SOTER_P.159/56,AfSPDB,1956-10-21,15.888465,-12.211032,Xanthi-Acric Ferralsols,15.888465_-12.211032,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
51,AO_SOTER_P.181c/60,AfSPDB,1960-10-21,13.526319,-6.765988,Xanthi-Acric Ferralsols,13.526319_-6.765988,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
63,AO_SOTER_P.208/56,AfSPDB,1956-10-21,15.715417,-11.517401,Acric Ferralsols,15.715417_-11.517401,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
68,AO_SOTER_P.213/63,AfSPDB,1963-10-21,16.366939,-9.200219,Acric Ferralsols,16.366939_-9.200219,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
79,AO_SOTER_P.229/57,AfSPDB,1957-10-21,14.72015,-12.981896,Acric Ferralsols,14.72015_-12.981896,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
117,AO_SOTER_P.296/58,AfSPDB,1958-10-21,15.101602,-12.240633,Rhodi-Acric Ferralsols,15.101602_-12.240633,Acric Ferralsols,TRUE,Acric Ferralsols,TRUE
